temperature,humidity,ph,water availability,season,label
37.8,56.47,6.37,202.66,summer,maize
28.66,48.6,6.25,165.22,summer,maize
29.83,40.46,7.31,226.79,summer,maize
28.03,42.01,7.44,188.79,summer,maize
35.86,50.34,7.09,242.43,summer,maize
30.38,42.52,5.82,165.17,summer,maize
33.03,49.18,7.15,230.85,summer,maize
35.3,48.5,7.24,241.06,summer,maize
29.53,42.56,5.99,237.73,summer,maize
33.97,46.98,6.92,166.07,summer,maize
32.87,44.75,6.4,216.64,summer,maize
28.7,43.75,6.45,221.78,summer,maize
29.71,43.46,6.6,202.62,summer,maize
33.08,52.74,6.05,156.54,summer,maize
33.61,59.52,7.36,167.84,summer,maize
37.19,58.15,6.1,179.88,summer,maize
32.01,48.96,6.94,225.73,summer,maize
34.31,41.73,6.32,179.13,summer,maize
31.22,50.78,5.63,177.72,summer,maize
37.62,48.5,6.44,179.28,summer,maize
34.26,54.47,5.85,192.17,summer,maize
31.52,49.8,7.09,240.88,summer,maize
29.6,59.39,5.93,165.38,summer,maize
29.03,45.63,6.8,198.21,summer,maize
30.19,49.55,7.39,203.35,summer,maize
31.55,55.43,6.76,172.84,summer,maize
29.24,43.83,6.36,150.55,summer,maize
32.73,52.83,7.23,200.18,summer,maize
35.69,47.03,7.0,171.91,summer,maize
33.87,43.91,6.2,249.04,summer,maize
28.87,44.13,6.37,159.48,summer,maize
35.62,48.31,6.81,200.42,summer,maize
35.78,52.37,5.63,176.26,summer,maize
37.31,56.1,6.35,213.5,summer,maize
31.75,56.76,6.08,236.96,summer,maize
35.05,52.57,7.33,232.49,summer,maize
31.89,58.65,6.22,190.13,summer,maize
28.49,48.7,6.12,214.76,summer,maize
28.29,42.42,6.53,214.0,summer,maize
37.92,53.93,7.47,224.12,summer,maize
29.1,55.13,7.46,194.45,summer,maize
30.11,59.6,6.82,192.79,summer,maize
32.0,49.01,7.01,221.69,summer,maize
35.89,42.1,5.74,151.18,summer,maize
31.55,55.72,7.07,217.64,summer,maize
35.62,56.07,7.24,243.21,summer,maize
28.09,54.68,6.88,210.37,summer,maize
37.43,41.46,5.68,150.19,summer,maize
30.48,42.39,6.49,204.85,summer,maize
33.2,50.42,7.35,228.33,summer,maize
29.47,55.93,7.01,219.34,summer,maize
31.37,48.23,6.29,168.62,summer,maize
36.04,48.14,6.73,203.43,summer,maize
30.2,58.6,7.23,157.06,summer,maize
30.04,54.81,7.25,200.75,summer,maize
34.88,53.76,5.91,242.96,summer,maize
37.03,51.91,5.84,179.89,summer,maize
29.83,56.05,5.81,218.22,summer,maize
31.68,42.39,5.83,200.6,summer,maize
31.06,59.09,5.89,220.69,summer,maize
36.43,55.92,6.37,233.54,summer,maize
29.21,56.89,5.87,210.75,summer,maize
30.41,40.45,6.35,210.58,summer,maize
31.2,40.92,7.31,153.57,summer,maize
36.77,40.79,5.81,154.6,summer,maize
31.11,49.04,5.75,201.65,summer,maize
28.76,42.71,6.81,249.29,summer,maize
29.95,53.09,6.09,207.46,summer,maize
30.9,44.45,7.47,156.48,summer,maize
30.74,40.2,6.4,225.36,summer,maize
36.9,52.92,6.39,239.08,summer,maize
35.24,46.47,7.49,223.06,summer,maize
36.74,51.16,5.81,211.92,summer,maize
33.45,46.74,5.5,151.03,summer,maize
28.77,52.78,6.8,219.66,summer,maize
31.99,49.06,5.69,173.47,summer,maize
29.26,44.74,6.53,175.67,summer,maize
28.46,48.63,5.84,161.58,summer,maize
34.51,44.19,5.6,193.97,summer,maize
29.6,53.19,5.63,181.62,summer,maize
29.32,45.72,6.64,249.79,summer,maize
33.9,52.32,6.52,167.59,summer,maize
33.73,52.92,7.5,233.61,summer,maize
35.69,45.71,6.11,190.13,summer,maize
32.88,58.67,5.88,219.36,summer,maize
36.67,42.79,5.96,196.25,summer,maize
33.47,55.98,6.36,227.66,summer,maize
36.93,42.5,6.55,158.75,summer,maize
37.2,47.81,6.19,161.53,summer,maize
32.34,49.87,6.51,225.79,summer,maize
34.78,47.1,6.71,190.13,summer,maize
37.77,59.76,7.02,190.59,summer,maize
32.58,58.37,5.5,188.74,summer,maize
30.08,53.34,7.09,151.72,summer,maize
30.38,40.0,7.12,218.99,summer,maize
37.72,57.55,5.9,163.02,summer,maize
37.86,58.48,6.91,157.68,summer,maize
35.35,53.64,6.78,155.37,summer,maize
35.01,48.81,7.08,192.57,summer,maize
36.57,53.66,5.63,212.18,summer,maize
28.63,58.47,6.73,177.12,summer,maize
28.33,51.8,5.65,212.37,summer,maize
33.46,40.55,6.59,181.53,summer,maize
34.47,41.81,7.4,220.97,summer,maize
37.6,53.74,6.8,207.04,summer,maize
31.03,58.03,5.9,211.95,summer,maize
36.63,43.13,7.09,223.72,summer,maize
29.79,41.4,6.75,194.44,summer,maize
33.42,59.71,6.49,175.38,summer,maize
36.8,52.79,6.84,173.39,summer,maize
32.77,57.72,6.14,233.96,summer,maize
30.09,50.15,6.4,229.08,summer,maize
35.02,59.19,7.05,218.88,summer,maize
31.57,41.07,6.0,217.46,summer,maize
37.26,53.39,5.83,180.41,summer,maize
30.14,59.45,5.68,230.64,summer,maize
31.57,46.21,6.41,190.31,summer,maize
32.79,54.68,6.88,205.72,summer,maize
37.8,54.16,6.81,166.95,summer,maize
31.17,58.37,7.26,224.63,summer,maize
36.85,45.7,6.52,226.37,summer,maize
30.08,48.73,7.4,166.9,summer,maize
28.87,54.89,6.34,229.44,summer,maize
37.6,58.2,6.18,220.71,summer,maize
32.55,46.25,6.2,181.22,summer,maize
30.85,54.88,6.41,204.48,summer,maize
29.63,55.44,6.03,248.11,summer,maize
34.88,47.52,7.38,246.87,summer,maize
35.73,55.12,7.03,157.14,summer,maize
34.89,55.85,5.68,244.14,summer,maize
37.55,57.2,7.28,231.71,summer,maize
30.01,55.49,7.3,168.31,summer,maize
37.57,59.5,6.44,188.0,summer,maize
37.48,50.87,6.18,161.88,summer,maize
28.03,45.1,7.09,243.02,summer,maize
35.58,44.05,7.3,228.39,summer,maize
34.78,54.5,6.5,178.82,summer,maize
29.85,45.43,6.2,210.46,summer,maize
31.21,55.25,6.67,180.51,summer,maize
33.91,46.22,7.28,244.28,summer,maize
31.53,55.17,7.08,158.94,summer,maize
31.93,48.98,7.34,199.16,summer,maize
29.6,52.71,6.14,167.86,summer,maize
37.49,59.24,5.51,239.73,summer,maize
35.98,48.75,6.94,205.52,summer,maize
33.9,51.79,5.98,177.25,summer,maize
31.03,59.05,6.87,228.44,summer,maize
32.69,50.73,6.03,218.48,summer,maize
34.22,44.03,7.13,242.65,summer,maize
29.05,44.14,5.97,214.49,summer,maize
32.85,47.85,7.45,243.86,summer,maize
30.25,42.19,6.28,208.94,summer,maize
33.84,47.28,5.85,212.89,summer,maize
35.92,47.52,6.5,232.11,summer,maize
34.12,43.45,6.55,245.74,summer,maize
30.14,45.59,6.23,225.91,summer,maize
32.17,59.33,6.89,153.04,summer,maize
31.46,46.85,6.56,185.42,summer,maize
32.01,43.58,5.9,238.94,summer,maize
29.49,59.03,6.33,210.11,summer,maize
33.59,54.63,6.81,183.36,summer,maize
37.17,43.19,6.58,214.93,summer,maize
36.18,41.44,7.15,168.61,summer,maize
36.76,48.63,6.28,211.46,summer,maize
30.04,59.34,6.21,171.3,summer,maize
36.48,53.33,7.29,217.88,summer,maize
30.1,52.79,6.16,243.11,summer,maize
30.68,41.49,6.71,199.7,summer,maize
35.52,58.14,6.93,191.31,summer,maize
35.28,44.01,5.78,230.57,summer,maize
36.09,55.43,6.16,211.97,summer,maize
32.73,59.75,5.87,215.08,summer,maize
37.85,59.39,6.1,240.97,summer,maize
34.29,55.46,5.94,227.79,summer,maize
34.04,59.08,5.71,188.21,summer,maize
35.02,44.27,6.96,154.38,summer,maize
37.14,46.02,5.51,186.29,summer,maize
32.38,55.7,5.55,207.08,summer,maize
30.65,59.8,6.25,244.81,summer,maize
33.31,50.77,5.95,221.37,summer,maize
32.65,40.3,6.1,183.82,summer,maize
33.16,56.66,6.91,182.0,summer,maize
30.52,58.31,7.4,215.72,summer,maize
33.15,44.09,7.36,245.57,summer,maize
32.49,43.22,6.22,231.39,summer,maize
35.17,46.46,7.35,247.22,summer,maize
35.79,56.27,6.45,215.09,summer,maize
32.69,45.02,7.39,212.62,summer,maize
37.59,46.11,7.02,242.85,summer,maize
31.87,43.03,6.95,205.21,summer,maize
29.53,52.51,6.42,226.35,summer,maize
33.11,45.72,5.55,232.73,summer,maize
33.63,53.35,7.16,162.65,summer,maize
28.14,47.01,6.66,203.88,summer,maize
28.82,46.46,6.87,214.68,summer,maize
34.37,53.9,5.67,214.33,summer,maize
28.88,40.85,7.22,222.97,summer,maize
33.07,58.32,6.39,172.0,summer,maize
33.23,42.34,6.25,152.13,summer,maize
32.08,44.57,5.75,197.41,summer,maize
32.57,50.59,7.34,155.41,summer,maize
36.41,48.09,5.7,156.21,summer,maize
35.03,49.36,6.22,167.67,summer,maize
37.9,42.87,6.68,196.93,summer,maize
35.69,56.53,5.91,214.1,summer,maize
36.35,56.31,7.01,247.69,summer,maize
37.45,56.33,5.73,160.13,summer,maize
36.48,44.31,6.86,170.57,summer,maize
34.59,45.84,5.6,152.73,summer,maize
35.62,49.82,7.17,231.72,summer,maize
32.56,40.97,6.47,205.0,summer,maize
35.51,58.21,7.36,156.96,summer,maize
32.36,43.99,5.78,211.08,summer,maize
29.99,40.42,5.85,180.85,summer,maize
30.74,52.61,6.26,157.53,summer,maize
28.42,52.13,6.67,232.33,summer,maize
28.07,42.64,6.27,183.97,summer,maize
37.42,42.03,7.23,235.41,summer,maize
31.18,49.47,6.02,248.31,summer,maize
30.75,44.95,5.89,235.88,summer,maize
32.44,42.6,7.35,197.39,summer,maize
34.06,42.46,6.29,226.76,summer,maize
28.51,59.04,6.57,160.25,summer,maize
33.9,50.07,5.59,219.31,summer,maize
30.73,41.19,5.8,199.82,summer,maize
30.94,43.36,7.38,155.53,summer,maize
33.34,53.32,6.43,173.94,summer,maize
30.68,53.31,5.8,164.53,summer,maize
33.58,52.57,6.1,158.25,summer,maize
33.07,49.0,7.49,215.74,summer,maize
32.2,41.36,6.03,184.2,summer,maize
37.21,58.57,7.32,233.84,summer,maize
35.46,43.95,7.13,231.67,summer,maize
29.18,59.85,6.68,249.67,summer,maize
35.98,53.41,5.68,162.96,summer,maize
32.3,50.91,5.58,164.84,summer,maize
35.41,44.98,5.56,200.61,summer,maize
33.56,41.51,6.53,226.15,summer,maize
36.44,41.38,7.49,171.77,summer,maize
36.93,51.81,6.44,241.64,summer,maize
30.41,53.95,7.49,157.49,summer,maize
36.65,58.64,5.95,169.04,summer,maize
34.32,57.95,7.39,227.35,summer,maize
36.2,51.95,6.73,241.71,summer,maize
33.16,52.92,7.22,180.46,summer,maize
28.19,56.65,5.85,182.68,summer,maize
36.55,48.79,6.3,201.67,summer,maize
36.92,53.08,7.14,195.8,summer,maize
31.77,42.79,6.83,219.1,summer,maize
30.77,44.22,6.52,233.45,summer,maize
37.5,40.37,6.64,239.74,summer,sugarcane
36.65,52.92,6.01,206.51,summer,sugarcane
37.09,41.89,7.07,218.23,summer,sugarcane
37.4,43.76,7.5,153.88,summer,sugarcane
31.94,52.76,5.91,223.96,summer,sugarcane
28.0,57.82,6.41,227.7,summer,sugarcane
35.18,47.05,6.43,163.13,summer,sugarcane
37.69,54.91,6.35,222.67,summer,sugarcane
35.66,43.69,6.15,239.3,summer,sugarcane
31.13,46.99,5.93,245.99,summer,sugarcane
31.46,49.8,5.93,161.58,summer,sugarcane
35.86,42.32,5.98,209.91,summer,sugarcane
34.86,46.64,5.6,213.23,summer,sugarcane
28.37,49.46,6.36,162.83,summer,sugarcane
34.63,54.46,7.09,185.24,summer,sugarcane
33.7,42.94,7.09,152.55,summer,sugarcane
32.71,48.67,6.26,209.85,summer,sugarcane
35.17,53.11,6.97,238.45,summer,sugarcane
33.34,47.36,6.79,224.45,summer,sugarcane
31.83,40.17,6.59,232.89,summer,sugarcane
32.13,48.01,7.5,190.87,summer,sugarcane
37.29,44.13,5.6,180.55,summer,sugarcane
35.28,42.95,7.1,155.99,summer,sugarcane
28.79,59.61,6.56,224.54,summer,sugarcane
34.89,40.33,6.54,224.89,summer,sugarcane
35.06,56.23,7.45,175.31,summer,sugarcane
30.07,51.02,6.37,227.75,summer,sugarcane
32.95,59.61,7.43,220.24,summer,sugarcane
32.4,55.02,6.62,151.04,summer,sugarcane
33.8,59.67,6.0,182.54,summer,sugarcane
30.74,44.06,7.17,236.9,summer,sugarcane
29.27,53.91,5.52,201.15,summer,sugarcane
31.44,50.06,6.82,197.63,summer,sugarcane
33.74,54.05,5.52,189.93,summer,sugarcane
31.16,46.35,7.49,166.22,summer,sugarcane
36.32,40.1,6.99,157.96,summer,sugarcane
31.09,41.43,7.03,177.09,summer,sugarcane
30.22,56.65,7.2,198.97,summer,sugarcane
36.34,54.46,6.45,175.63,summer,sugarcane
36.37,46.65,7.21,223.23,summer,sugarcane
33.3,44.18,6.29,239.07,summer,sugarcane
37.82,57.45,5.55,185.16,summer,sugarcane
33.22,44.45,6.42,238.13,summer,sugarcane
32.67,59.71,7.06,164.85,summer,sugarcane
36.68,50.05,6.07,241.79,summer,sugarcane
34.19,57.14,7.07,229.81,summer,sugarcane
28.74,46.22,5.75,193.66,summer,sugarcane
34.63,43.67,5.61,166.39,summer,sugarcane
34.94,58.51,6.18,216.29,summer,sugarcane
37.58,51.75,6.88,205.58,summer,sugarcane
33.56,59.97,5.76,171.05,summer,sugarcane
35.96,51.16,7.37,238.27,summer,sugarcane
34.41,40.69,6.14,158.13,summer,sugarcane
37.54,48.44,6.68,230.86,summer,sugarcane
36.43,48.99,5.72,231.9,summer,sugarcane
28.81,44.69,5.54,215.38,summer,sugarcane
31.01,59.76,6.53,241.24,summer,sugarcane
29.51,40.11,6.3,150.53,summer,sugarcane
31.99,52.28,6.45,192.36,summer,sugarcane
29.26,49.19,6.06,194.65,summer,sugarcane
34.17,57.92,6.29,187.34,summer,sugarcane
33.5,47.25,6.14,161.27,summer,sugarcane
29.77,45.9,7.25,192.68,summer,sugarcane
35.74,46.83,7.23,238.94,summer,sugarcane
28.65,50.21,7.41,161.2,summer,sugarcane
36.6,48.51,6.82,205.24,summer,sugarcane
28.4,51.42,5.63,242.88,summer,sugarcane
33.39,45.27,5.56,215.59,summer,sugarcane
33.43,52.19,5.79,212.49,summer,sugarcane
37.2,58.29,5.54,237.47,summer,sugarcane
31.65,47.06,6.65,199.11,summer,sugarcane
31.58,59.5,5.57,234.1,summer,sugarcane
30.01,57.81,6.04,229.32,summer,sugarcane
35.24,59.66,5.68,178.45,summer,sugarcane
29.2,40.12,5.6,223.77,summer,sugarcane
28.51,42.7,6.33,242.86,summer,sugarcane
28.38,53.19,7.09,239.99,summer,sugarcane
33.8,55.15,7.24,161.04,summer,sugarcane
35.97,51.56,6.28,249.34,summer,sugarcane
30.16,52.36,6.97,178.21,summer,sugarcane
33.46,58.39,7.34,223.68,summer,sugarcane
33.12,49.72,6.67,166.97,summer,sugarcane
28.37,43.78,5.63,171.27,summer,sugarcane
36.8,40.02,7.34,215.11,summer,sugarcane
32.65,55.08,6.96,224.9,summer,sugarcane
28.07,58.44,6.11,241.75,summer,sugarcane
